year,type_of_violence,conflict_name,dyad_name,side_a,side_b,latitude,longitude,best
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3519,46.1035,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1990,1,Russia (Soviet Union):Azerbaijan,Government of Russia (Soviet Union) - APF,Government of Russia (Soviet Union),APF,40.39528,49.88222,3
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.1,46.0,1
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,7
1990,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.812778,44.488333,1
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.45378,46.646319,1
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.388889,46.489444,2
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,0
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.388889,46.489444,15
1990,2,Armenian - Azeri,Armenian - Azeri,Armenian,Azeri,40.0,46.583333,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,15
1993,1,Russia (Soviet Union):Government,Government of Russia (Soviet Union) - Parliamentary Forces,Government of Russia (Soviet Union),Parliamentary Forces,55.7558,37.6173,49
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2917,45.8724,6
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2386,45.1714,20
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,27
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,5
1999,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,45.0445,41.9691,1
1999,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,541
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.8625,45.756,5
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.8625,45.756,5
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.7077,45.4501,5
1994,2,Chechen Republic of Ichkeria - Provisional Council of the Chechen Republic,Chechen Republic of Ichkeria - Provisional Council of the Chechen Republic,Chechen Republic of Ichkeria,Provisional Council of the Chechen Republic,43.318,45.6982,2
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.5,47.5,0
1990,2,Meskhetian Turk - Uzbek,Meskhetian Turk - Uzbek,Meskhetian Turk,Uzbek,41.294444,69.676389,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2624,45.5348,0
1990,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,41.0925,45.3656,6
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,104
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1995,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,38.210712,70.939299,4
1994,2,Chechen Republic of Ichkeria - Provisional Council of the Chechen Republic,Chechen Republic of Ichkeria - Provisional Council of the Chechen Republic,Chechen Republic of Ichkeria,Provisional Council of the Chechen Republic,43.318,45.6982,24
1994,2,Chechen Republic of Ichkeria - Provisional Council of the Chechen Republic,Chechen Republic of Ichkeria - Provisional Council of the Chechen Republic,Chechen Republic of Ichkeria,Provisional Council of the Chechen Republic,43.4432,45.7688,2
1994,2,Chechen Republic of Ichkeria - Provisional Council of the Chechen Republic,Chechen Republic of Ichkeria - Provisional Council of the Chechen Republic,Chechen Republic of Ichkeria,Provisional Council of the Chechen Republic,43.1217,45.4801,4
1994,2,Chechen Republic of Ichkeria - Provisional Council of the Chechen Republic,Chechen Republic of Ichkeria - Provisional Council of the Chechen Republic,Chechen Republic of Ichkeria,Provisional Council of the Chechen Republic,43.318,45.6982,7
