year,type_of_violence,conflict_name,dyad_name,side_a,side_b,latitude,longitude,best
1997,3,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia),Civilians,42.260833,20.571667,1
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.487222,15.993333,1
1992,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.436389,17.188889,1
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.288333,18.804722,2
1991,2,Republic of Croatia - SAO Krajina,Republic of Croatia - SAO Krajina,Republic of Croatia,SAO Krajina,44.869444,15.2375,3
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.7125,16.075556,4
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.856944,21.656389,1
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.231667,16.539167,3
1991,1,Serbia (Yugoslavia):Slovenia,Government of Serbia (Yugoslavia) - Republic of Slovenia,Government of Serbia (Yugoslavia),Republic of Slovenia,46.411389,16.154444,1
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.551111,18.693889,2
1998,3,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia),Civilians,42.666667,21.166667,1
1999,3,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia) - Civilians,Government of Serbia (Yugoslavia),Civilians,42.583333,21.0,0
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.231944,21.259444,2
1991,2,Republic of Croatia - SAO Krajina,Republic of Croatia - SAO Krajina,Republic of Croatia,SAO Krajina,44.869444,15.2375,4
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.551389,20.835278,1
1998,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.537778,20.291111,0
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.955,21.016111,0
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.518611,21.894722,1
1998,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.380278,20.430833,0
1998,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.55,20.784722,0
1991,1,Serbia (Yugoslavia):Croatia,Government of Serbia (Yugoslavia) - Republic of Croatia,Government of Serbia (Yugoslavia),Republic of Croatia,45.338056,16.088056,6
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.415556,20.229722,2
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.198056,20.473889,0
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.803056,20.928889,0
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.7325,20.66,0
1999,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.583333,21.0,0
1998,1,Serbia (Yugoslavia):Kosovo,Government of Serbia (Yugoslavia) - UCK,Government of Serbia (Yugoslavia),UCK,42.641667,21.060833,0
1991,2,"Republic of Croatia - SAO Eastern Slavonia, Baranja and Western Symria","Republic of Croatia - SAO Eastern Slavonia, Baranja and Western Symria",Republic of Croatia,"SAO Eastern Slavonia, Baranja and Western Symria",45.269722,18.851111,3
